Insert Index;Insert Time (ms);Insert Operation Count;Search Index;Contains Time (ms);Contains Operation Count;Delete Time (ms);Delete Operations Count
489;1700;76;;;;;
490;1000;53;;;;;
491;1500;80;;;;;
492;600;40;;;;;
493;1000;49;;;;;
494;700;54;;;;;
495;1400;68;;;;;
496;700;51;;;;;
497;800;48;;;;;
498;800;40;;;;;
499;1500;79;;;;;
500;700;50;;;;;
501;1200;66;;;;;
502;900;59;;;;;
503;600;40;;;;;
504;1400;62;;;;;
505;1600;76;;;;;
506;800;44;;;;;
507;1000;53;;;;;
508;1000;55;;;;;
509;900;46;;;;;
510;1300;49;;;;;
511;1100;55;;;;;
512;1300;50;;;;;
513;1000;61;;;;;
514;1700;51;;;;;
515;800;44;;;;;
516;1600;61;;;;;
517;800;45;;;;;
518;800;48;;;;;
519;1000;59;;;;;
520;1300;68;;;;;
521;1500;79;;;;;
522;800;50;;;;;
523;1200;61;;;;;
524;1000;51;;;;;
525;900;51;;;;;
526;800;45;;;;;
527;1400;76;;;;;
528;1800;84;;;;;
529;700;40;;;;;
530;1400;63;;;;;
531;1100;59;;;;;
532;1100;55;;;;;
533;1800;73;;;;;
534;1500;68;;;;;
535;1600;71;;;;;
536;1300;65;;;;;
537;1200;63;;;;;
538;1900;99;;;;;
539;900;54;;;;;
540;800;48;;;;;
541;1100;51;;;;;
542;1900;126;;;;;
543;2300;134;;;;;
544;1400;58;;;;;
545;1000;53;;;;;
546;1100;63;;;;;
547;1200;71;;;;;
548;700;36;;;;;
549;1300;64;;;;;
550;900;47;;;;;
551;700;44;;;;;
552;800;48;;;;;
553;1300;67;;;;;
554;700;50;;;;;
555;1600;70;;;;;
556;1600;82;;;;;
557;1300;75;;;;;
558;1500;77;;;;;
559;900;46;;;;;
560;1000;55;;;;;
561;1000;50;;;;;
562;700;36;;;;;
563;900;49;;;;;
564;900;45;;;;;
565;700;40;;;;;
566;1100;55;;;;;
567;1500;83;;;;;
568;700;40;;;;;
569;800;46;;;;;
570;900;43;;;;;
571;1300;63;;;;;
572;1700;74;;;;;
573;1500;94;;;;;
574;2200;49;;;;;
575;900;40;;;;;
576;900;52;;;;;
577;800;43;;;;;
578;1000;55;;;;;
579;1000;49;;;;;
580;1300;75;;;;;
581;1000;57;;;;;
582;1300;64;;;;;
583;1600;71;;;;;
584;1300;79;;;;;
585;1300;71;;;;;
586;1600;89;;;;;
587;1100;43;;;;;
588;700;47;;;;;
589;1100;55;;;;;
590;6000;70;;;;;
591;700;42;;;;;
592;1100;53;;;;;
593;900;55;;;;;
594;1200;51;;;;;
595;1000;57;;;;;
596;1100;62;;;;;
597;1100;53;;;;;
598;700;40;;;;;
599;900;49;;;;;
600;1000;53;;;;;
601;1000;53;;;;;
602;1300;70;;;;;
603;1500;68;;;;;
604;800;43;;;;;
605;5400;60;;;;;
606;700;46;;;;;
607;1300;71;;;;;
608;1200;72;;;;;
609;900;56;;;;;
610;900;52;;;;;
611;8300;41;;;;;
612;1000;51;;;;;
613;800;46;;;;;
614;1500;60;;;;;
615;1000;47;;;;;
616;1200;58;;;;;
617;900;51;;;;;
618;900;58;;;;;
619;900;51;;;;;
620;900;49;;;;;
621;700;48;;;;;
622;900;53;;;;;
623;2300;117;;;;;
624;900;51;;;;;
625;1600;92;;;;;
626;900;47;;;;;
627;1200;72;;;;;
628;1100;49;;;;;
629;1300;66;;;;;
630;800;42;;;;;
631;900;49;;;;;
632;800;49;;;;;
633;800;42;;;;;
634;800;46;;;;;
635;1600;75;;;;;
636;700;40;;;;;
637;1100;61;;;;;
638;800;42;;;;;
639;2400;70;;;;;
640;1500;48;;;;;
641;1200;47;;;;;
642;1200;57;;;;;
643;1300;53;;;;;
644;1800;65;;;;;
645;1400;73;;;;;
646;1000;59;;;;;
647;1700;85;;;;;
648;1600;60;;;;;
649;1000;55;;;;;
650;700;40;;;;;
651;1100;58;;;;;
652;1300;57;;;;;
653;600;34;;;;;
654;1200;52;;;;;
655;1100;59;;;;;
656;600;43;;;;;
657;1200;88;;;;;
658;1000;78;;;;;
659;600;59;;;;;
660;600;53;;;;;
661;600;55;;;;;
662;1000;85;;;;;
663;500;46;;;;;
664;800;83;;;;;
665;400;52;;;;;
666;600;47;;;;;
667;700;59;;;;;
668;800;55;;;;;
669;700;71;;;;;
670;700;55;;;;;
671;700;53;;;;;
672;500;50;;;;;
673;600;47;;;;;
674;800;61;;;;;
675;500;48;;;;;
676;1000;72;;;;;
677;500;51;;;;;
678;600;38;;;;;
679;600;51;;;;;
680;400;42;;;;;
681;500;49;;;;;
682;900;70;;;;;
683;600;55;;;;;
684;600;57;;;;;
685;1000;77;;;;;
686;700;64;;;;;
687;500;47;;;;;
